rank,name,team,conference,position,class_year,height,season,games_played,ortg,pct_poss,efg_pct,ts_pct,three_pt_rate,ft_rate,ppg,rpg,apg,ast_rate,to_rate,or_pct,dr_pct,fc_per_40,minutes_pct
189,Obi Agbim,Wyoming,,,Sr,6-3,2025,0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,Stephan Swenson,UC Santa Barbara,,,Sr,6-2,2025,0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.9,0.0,0.0,0.0,0.0,0.0
191,Nazir Williams,Cornell,,,Sr,6-3,2025,0,113.7,0.0,0.0,62.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,Dre Bullock,South Dakota,,,Sr,6-6,2025,0,113.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,Otega Oweh,Kentucky,,,Jr,6-4,2025,0,113.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,Derik Queen,Maryland,,,Fr,6-10,2025,0,113.4,0.0,0.0,0.0,0.0,54.6,0.0,0.0,0.0,0.0,0.0,0.0,24.6,0.0,0.0
198,Kyler Filewich,Wofford,,,Sr,6-9,2025,0,113.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,23.9,0.0,0.0
199,Tyler McGhie,UC San Diego,,,Sr,6-5,2025,0,113.2,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0
2,Mitch Mascari,Drake,,,Sr,6-5,2025,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.7
4,Gibson Jimerson,Saint Louis,,,Sr,6-5,2025,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,0.0,0.0,1.47,94.7
6,Melvin Council,St. Bonaventure,,,Sr,6-4,2025,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.2
7,Quinton Mincey,UMass Lowell,,,Sr,6-6,2025,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,93.0
8,Nick Martinelli,Northwestern,,,Jr,6-7,2025,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.7
10,Johnathan Lawson,Little Rock,,,Jr,6-7,2025,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.2
11,Jakobi Heady,Central Michigan,,,Sr,6-6,2025,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64,91.8
13,Isaiah Swope,Saint Louis,,,Sr,5-10,2025,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.6
